Manufacturer Part Number,Quantity,Description / Reference
TEENSY41,1,PJRC Teensy 4.1 (DigiKey stocks PJRC)
ESP32-S3-DevKitC-1-N16R8,1,Espressif devkit - WiFi/BLE sidecar
BQ25887RGER,1,TI 2-cell charger + balancer VQFN-24 (U7)
IHLP2020CZER1R0M01,1,Vishay 1uH power inductor >=3A (L1)
LD1117S33TR,1,3.3V LDO SOT-223 (U8 - AMS1117-3.3 equivalent)
S1A-13-F,2,1N4001-class diode in SMA (D3 D4 soft-power OR)
LTST-C170GKT,1,0805 LED green (D1 PWR)
LTST-C170AKT,1,0805 LED amber (D2 CHG)
B2B-XH-A(LF)(SN),3,JST-XH 2-pin vertical (BAL BTN RTC)
B3B-XH-A(LF)(SN),2,JST-XH 3-pin (RGB LED / TX MODULE)
B4B-XH-A(LF)(SN),1,JST-XH 4-pin (I2C)
B6B-XH-A(LF)(SN),1,JST-XH 6-pin (KNOBS)
B9B-XH-A(LF)(SN),2,JST-XH 9-pin (SWITCHES TRIMS)
B3B-PH-K-S(LF)(SN),4,JST-PH 3-pin (gimbal axes - M9 plugs)
BM04B-SRSS-TB(LF)(SN),1,JST-SH 4-pin (QWIIC I2C)
USB4105-GF-A,1,GCT USB-C 16-pin receptacle (charging - HRO TYPE-C-31-M-12 equivalent; CHECK footprint vs board)
XHP-2,3,JST XH 2-pin housing (BAL BTN RTC looms)
XHP-3,2,JST XH 3-pin housing (RGB LED / TX MODULE looms)
XHP-4,1,JST XH 4-pin housing (I2C loom)
XHP-6,1,JST XH 6-pin housing (KNOBS loom)
XHP-9,2,JST XH 9-pin housing (SWITCHES TRIMS looms)
SXH-001T-P0.6,100,JST XH crimp pins (loom building - order plenty)
PPTC241LFBN-RC,2,Sullins 24-pos female header 2.54mm (Teensy 4.1)
PPTC221LFBN-RC,2,Sullins 22-pos female header 2.54mm (ESP32 DevKitC)
PPTC041LFBN-RC,2,4-pos female (stack for nRF 2x4 - or use 2x4 socket ESQ-104-13-G-D)
GRM31CR61E106KA12L,4,10uF 25V 1206 (C2 C3 C4 C9)
GRM21BR71H105KA12L,1,1uF 0805 (C1 VBUS)
GRM21BR61E475KA12L,1,4.7uF 0805 (C7 REGN)
GRM21BR71H473KA01L,1,47nF 0805 (C6 BTST)
GRM2165C1H470JA01D,1,47pF 0805 (C5)
GRM21BR71H104KA01L,2,100nF 0805 (C10 C11)
EEE-FT1E221AP,1,220uF 25V SMD electrolytic 6.3mm (C8 RF bulk)
RC1206FR-0768RL,2,68R 1206 (R2 R3 balance pair)
RC0805FR-07330RL,2,330R 0805 (R1 R14)
RC0805FR-07374RL,1,374R 0805 (R6 ILIM)
RC0805FR-07470RL,2,470R 0805 (R9 R10 LEDs)
RC0805FR-075K11L,1,5.11k 0805 (R4 TS upper)
RC0805FR-077K5L,1,7.5k 0805 (R5 TS lower)
RC0805FR-075K1L,2,5.1k 0805 (R7 R8 USB-C CC)
RC0805FR-074K7L,2,4.7k 0805 (R12 R13 I2C pullups)
RC0805FR-0747KL,1,47k 0805 (R15 VBAT divider)
RC0805FR-0715KL,1,15k 0805 (R16 VBAT divider)
3034,1,Keystone CR2032 holder (CHECK vertical footprint vs board) + CR2032 cell
